,Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency_2,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas
17,2023/06/04 8:45:45 PM GMT+5:30,21,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Maybe,Sometimes,others,Never,No,Heavily,Yes,2,Yes,2,1,Wide product selection,Shipping speed and reliability
18,2023/06/04 8:46:02 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,No,Moderately,Yes,2,Sometimes,3,2,Wide product selection,Customer service responsiveness
19,2023/06/04 8:48:59 PM GMT+5:30,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Heavily,Yes,4,Sometimes,3,2,Wide product selection,Product quality and accuracy
20,2023/06/04 8:49:49 PM GMT+5:30,64,Male,Once a week,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Never,No,Occasionally,Yes,2,Yes,1,2,Competitive prices,Reducing packaging waste
21,2023/06/04 8:52:49 PM GMT+5:30,23,Female,Once a month,Clothing and Fashion,No,Few times a month,others,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,3,2,User-friendly website/app interface,Customer service responsiveness
22,2023/06/04 8:54:36 PM GMT+5:30,21,Male,Less than once a month,others,No,Few times a week,others,Multiple pages,1,Yes,Never,others,Never,No,Never,Sometimes,3,Sometimes,3,3,.,.
23,2023/06/04 9:10:08 PM GMT+5:30,16,Female,Less than once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,2,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,3,Yes,2,2,Wide product selection,Shipping speed and reliability
24,2023/06/04 9:10:51 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,1,Maybe,Rarely,others,Rarely,Yes,Heavily,Yes,3,Sometimes,1,1,Competitive prices,Customer service responsiveness
25,2023/06/04 9:18:12 PM GMT+5:30,24,Female,Multiple times a week,Groceries and Gourmet Food,Yes,Few times a week,categories,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,2,No,2,3,User-friendly website/app interface,Product quality and accuracy
26,2023/06/04 9:22:58 PM GMT+5:30,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,3,Sometimes,2,2,Wide product selection,Shipping speed and reliability
27,2023/06/04 9:29:59 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Sometimes,3,Yes,3,5,Wide product selection,Reducing packaging waste
28,2023/06/04 9:40:54 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Often,others,Often,No,Heavily,Yes,3,Sometimes,2,2,User-friendly website/app interface,Shipping speed and reliability
29,2023/06/04 9:48:15 PM GMT+5:30,24,Female,Less than once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Yes,4,Yes,5,4,Competitive prices,Reducing packaging waste
30,2023/06/04 10:13:28 PM GMT+5:30,25,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,5,Yes,Often,High shipping costs,Never,Yes,Heavily,Yes,2,Sometimes,3,4,Wide product selection,Product quality and accuracy
31,2023/06/04 10:24:47 PM GMT+5:30,23,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,First page,5,Maybe,Often,Changed my mind or no longer need the item,Always,No,Heavily,Yes,4,No,3,4,Competitive prices,Customer service responsiveness
32,2023/06/04 10:37:00 PM GMT+5:30,23,Female,Less than once a month,others,No,Rarely,others,First page,3,No,Never,others,Never,No,Occasionally,Sometimes,5,No,3,3,Wide product selection,Product quality and accuracy
33,2023/06/04 11:09:27 PM GMT+5:30,23,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,1,Yes,2,1,Wide product selection,Reducing packaging waste
34,2023/06/04 11:12:15 PM GMT+5:30,23,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,3,Yes,1,1,Competitive prices,Customer service responsiveness
35,2023/06/04 11:24:41 PM GMT+5:30,24,Female,Less than once a month,others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy
36,2023/06/04 11:27:53 PM GMT+5:30,24,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,First page,4,Yes,Always,Changed my mind or no longer need the item,Often,No,Occasionally,Sometimes,2,Yes,2,1,Wide product selection,Shipping speed and reliability
37,2023/06/04 11:38:30 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Rarely,No,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Reducing packaging waste
38,2023/06/04 11:57:10 PM GMT+5:30,29,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,No,Moderately,Yes,2,Yes,2,2,Competitive prices,Customer service responsiveness
39,2023/06/05 12:02:56 AM GMT+5:30,19,Female,Few times a month,Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,5,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,3,Yes,3,5,Competitive prices,Shipping speed and reliability
40,2023/06/05 12:05:20 AM GMT+5:30,26,Female,Less than once a month,others,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Sometimes,Yes,Moderately,Yes,1,Yes,2,2,Competitive prices,Product quality and accuracy
41,2023/06/05 12:36:02 AM GMT+5:30,32,Male,Less than once a month,others,No,Rarely,Keyword,First page,1,No,Always,Changed my mind or no longer need the item,Never,No,Moderately,Yes,1,No,4,1,Customer service ,Nothing
42,2023/06/05 12:37:54 AM GMT+5:30,30,Female,Once a month,Home and Kitchen,No,Few times a month,Filter,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Yes,1,No,4,1,User-friendly website/app interface,Reducing packaging waste
43,2023/06/05 12:39:14 AM GMT+5:30,22,Female,Less than once a month,Beauty and Personal Care;others,No,Few times a month,others,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Often,No,Moderately,Sometimes,5,Yes,3,2,User-friendly website/app interface,Product quality and accuracy
44,2023/06/05 12:57:05 AM GMT+5:30,26,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,categories,Multiple pages,1,Yes,Sometimes,High shipping costs,Never,Yes,Moderately,No,2,Yes,2,2,User-friendly website/app interface,Shipping speed and reliability
45,2023/06/05 2:56:10 AM GMT+5:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,1,Yes,Always,High shipping costs,Always,Yes,Heavily,Yes,1,Yes,1,1,Wide product selection,Customer service responsiveness
46,2023/06/05 4:26:25 AM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,5,Yes,Sometimes,High shipping costs,Always,No,Heavily,Yes,4,Yes,4,4,Wide product selection,Product quality and accuracy
47,2023/06/05 7:16:40 AM GMT+5:30,24,Female,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Product quality and accuracy
48,2023/06/05 8:43:26 AM GMT+5:30,23,Female,Few times a month,others,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Always,No,Heavily,Yes,4,Sometimes,3,3,Wide product selection,Product quality and accuracy
49,2023/06/05 9:20:17 AM GMT+5:30,24,Male,Few times a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Often,No,Heavily,Yes,1,Yes,1,2,User-friendly website/app interface,Product quality and accuracy
50,2023/06/05 9:56:58 AM GMT+5:30,23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,4,3,Competitive prices,Customer service responsiveness
51,2023/06/05 10:36:38 AM GMT+5:30,25,Male,Less than once a month,others,Sometimes,Few times a week,Keyword,First page,4,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Product quality and accuracy
52,2023/06/05 10:37:36 AM GMT+5:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,No,Heavily,Yes,1,Yes,2,2,User-friendly website/app interface,Shipping speed and reliability
53,2023/06/05 10:53:16 AM GMT+5:30,21,Female,Few times a month,Home and Kitchen,No,Few times a month,Keyword,First page,1,Yes,Rarely,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,1,Sometimes,3,1,User-friendly website/app interface,Reducing packaging waste
54,2023/06/05 11:20:41 AM GMT+5:30,23,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Never,No,Moderately,Yes,3,Sometimes,3,3,Wide product selection,Reducing packaging waste
55,2023/06/05 11:54:52 AM GMT+5:30,26,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,Multiple pages,1,Maybe,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,4,Yes,2,2,Product recommendations,Shipping speed and reliability
56,2023/06/05 1:10:59 PM GMT+5:30,23,Female,Few times a month,Clothing and Fashion;others,Yes,Few times a week,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,1,Sometimes,3,2,Wide product selection,Product quality and accuracy
57,2023/06/05 1:27:08 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,3,No,3,3,Product recommendations,Reducing packaging waste
58,2023/06/05 1:28:44 PM GMT+5:30,40,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,4,Sometimes,2,1,Competitive prices,Reducing packaging waste
59,2023/06/05 1:32:57 PM GMT+5:30,25,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Often,No,Moderately,Sometimes,3,Sometimes,3,3,Wide product selection,Customer service responsiveness
60,2023/06/05 1:35:41 PM GMT+5:30,24,Male,Once a month,others,Sometimes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,4,Sometimes,1,2,Wide product selection,Shipping speed and reliability
61,2023/06/05 1:35:44 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,Sometimes,3,Sometimes,3,3,User-friendly website/app interface,Product quality and accuracy
62,2023/06/05 1:37:01 PM GMT+5:30,24,Male,Less than once a month,others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,Yes,Heavily,Yes,2,Yes,3,2,User-friendly website/app interface,Shipping speed and reliability
63,2023/06/05 1:43:00 PM GMT+5:30,24,Male,Less than once a month,others,No,Few times a week,categories,Multiple pages,1,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Product quality and accuracy
64,2023/06/05 1:45:30 PM GMT+5:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,3,Yes,3,3,Product recommendations,Customer service responsiveness
65,2023/06/05 1:54:28 PM GMT+5:30,26,Male,Few times a month,others,No,Few times a week,Keyword,Multiple pages,4,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Occasionally,Yes,3,Yes,3,4,Competitive prices,Product quality and accuracy
66,2023/06/05 2:10:33 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,categories,First page,1,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,2,Sometimes,3,3,Wide product selection,Product quality and accuracy
67,2023/06/05 2:16:16 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Heavily,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy
68,2023/06/05 2:17:45 PM GMT+5:30,24,Female,Once a month,others,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,Yes,3,2,User-friendly website/app interface,Product quality and accuracy
69,2023/06/05 2:21:37 PM GMT+5:30,23,Male,Less than once a month,others,No,Few times a month,Keyword,First page,1,Maybe,Rarely,High shipping costs,Never,No,Moderately,Sometimes,3,Sometimes,3,3,Wide product selection,better app interface and lower shipping charges
70,2023/06/05 2:24:22 PM GMT+5:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,1,Yes,2,2,Competitive prices,Product quality and accuracy
71,2023/06/05 2:25:28 PM GMT+5:30,36,Female,Once a month,Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,5,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,No,2,Sometimes,3,1,User-friendly website/app interface,Shipping speed and reliability
72,2023/06/05 2:28:10 PM GMT+5:30,26,Male,Less than once a month,Home and Kitchen,No,Rarely,Filter,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,1,Yes,2,1,Wide product selection,Product quality and accuracy
73,2023/06/05 2:46:25 PM GMT+5:30,31,Male,Once a month,Home and Kitchen;others,No,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,4,Sometimes,3,1,Customer service,Reducing packaging waste
74,2023/06/05 3:28:01 PM GMT+5:30,23,Male,Less than once a month,others,No,Rarely,categories,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Never,No,Heavily,Yes,2,No,3,2,User-friendly website/app interface,Reducing packaging waste
75,2023/06/05 4:46:52 PM GMT+5:30,23,Female,Less than once a month,Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Yes,3,Yes,2,2,Wide product selection,Product quality and accuracy
76,2023/06/05 4:49:43 PM GMT+5:30,30,Male,Once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,4,Yes,Often,Found a better price elsewhere,Always,Yes,Moderately,Yes,4,Yes,4,4,Product recommendations,Customer service responsiveness
77,2023/06/05 4:50:33 PM GMT+5:30,24,Female,Less than once a month,others,No,Rarely,categories,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Often,No,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Product quality and accuracy
78,2023/06/05 4:50:44 PM GMT+5:30,47,Prefer not to say,Less than once a month,others,Sometimes,Rarely,others,First page,2,Maybe,Never,Changed my mind or no longer need the item,Never,No,Never,Sometimes,2,No,2,2,User-friendly website/app interface,Shipping speed and reliability
79,2023/06/05 4:52:12 PM GMT+5:30,54,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,categories,Multiple pages,4,Yes,Always,others,Always,Yes,Heavily,Yes,5,Yes,5,5,Competitive prices,Shipping speed and reliability
80,2023/06/05 6:49:25 PM GMT+5:30,58,Male,Once a month,Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,5,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Never,No,4,No,3,3,Competitive prices,Reducing packaging waste
81,2023/06/05 7:04:21 PM GMT+5:30,53,Female,Less than once a month,Home and Kitchen,No,Few times a week,Keyword,Multiple pages,3,No,Rarely,Changed my mind or no longer need the item,Never,No,Moderately,Yes,2,Yes,2,1,Competitive prices,Reducing packaging waste
82,2023/06/05 8:06:04 PM GMT+5:30,23,Prefer not to say,Once a week,Beauty and Personal Care,No,Multiple times a day,categories,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste
83,2023/06/05 8:07:52 PM GMT+5:30,25,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,5,Maybe,Never,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Sometimes,4,Sometimes,3,3,Product recommendations,Customer service responsiveness
84,2023/06/05 8:44:09 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care,No,Rarely,categories,Multiple pages,1,Maybe,Rarely,Found a better price elsewhere,Rarely,No,Occasionally,Yes,2,Sometimes,3,2,User-friendly website/app interface,Shipping speed and reliability
85,2023/06/05 8:46:09 PM GMT+5:30,32,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,First page,4,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,No,Moderately,Sometimes,4,Sometimes,4,4,User-friendly website/app interface,Customer service responsiveness
86,2023/06/05 8:47:42 PM GMT+5:30,30,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,5,Yes,Often,others,Always,Yes,Heavily,Yes,5,Sometimes,5,3,Competitive prices,Product quality and accuracy
87,2023/06/05 8:49:12 PM GMT+5:30,28,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,3,No,Never,High shipping costs,Never,Yes,Occasionally,No,4,No,4,3,Competitive prices,Shipping speed and reliability
88,2023/06/05 8:50:24 PM GMT+5:30,20,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,categories,First page,1,No,Often,Found a better price elsewhere,Often,No,Occasionally,Sometimes,3,No,3,3,Competitive prices,Reducing packaging waste
89,2023/06/05 8:52:01 PM GMT+5:30,25,Male,Few times a month,others,No,Rarely,others,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Never,No,Moderately,Sometimes,2,Sometimes,2,3,Wide product selection,Product quality and accuracy
90,2023/06/05 9:56:02 PM GMT+5:30,55,Others,Few times a month,Groceries and Gourmet Food,Yes,Multiple times a day,Keyword,Multiple pages,3,Yes,Sometimes,High shipping costs,Often,Yes,Rarely,Yes,4,Yes,3,3,Product recommendations,Customer service responsiveness
91,2023/06/05 9:56:08 PM GMT+5:30,24,Female,Once a month,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,2,Yes,Rarely,High shipping costs,Always,Yes,Moderately,Yes,4,Sometimes,3,4,Wide product selection,Product quality and accuracy
92,2023/06/05 9:58:17 PM GMT+5:30,62,Female,Less than once a month,Beauty and Personal Care,Sometimes,Rarely,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,No,Never,Sometimes,5,Yes,4,3,User-friendly website/app interface,Shipping speed and reliability
93,2023/06/05 10:04:32 PM GMT+5:30,27,Male,Less than once a month,others,No,Rarely,others,First page,4,No,Never,others,Never,No,Never,No,5,No,5,5,Competitive prices,Customer service responsiveness
94,2023/06/05 10:05:25 PM GMT+5:30,34,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,No,4,Yes,2,2,Wide product selection,Product quality and accuracy
95,2023/06/05 10:06:15 PM GMT+5:30,40,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,2,Maybe,Often,Found a better price elsewhere,Often,Yes,Occasionally,Sometimes,2,No,2,2,Competitive prices,Shipping speed and reliability
96,2023/06/05 10:06:46 PM GMT+5:30,22,Others,Less than once a month,others,Yes,Few times a month,categories,Multiple pages,4,Maybe,Often,Found a better price elsewhere,Rarely,Yes,Rarely,No,3,No,3,4,User-friendly website/app interface,Reducing packaging waste
97,2023/06/05 10:07:31 PM GMT+5:30,34,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,First page,3,Yes,Often,Found a better price elsewhere,Often,Yes,Heavily,Yes,1,Sometimes,2,2,User-friendly website/app interface,Product quality and accuracy
